1,4.0,3.6,70.9,-2.6
2,1.8,5.8,70.9,-2.5
3,1.5,-2.5,70.9,-2.6
4,7.3,-0.5,70.9,-2.5
5,6.2,-2.9,70.9,-2.5
6,4.4,-3.5,70.9,-2.6
7,6.3,1.7,70.9,-2.5
8,-0.8,4.2,70.9,-2.6
9,-1.4,-4.0,70.9,-2.6
10,-4.7,0.9,70.9,-2.6
11,-3.4,-2.7,70.9,-2.6
12,-2.4,-10.1,70.9,-2.4
13,6.6,-8.6,70.9,-2.4
14,11.0,-0.3,70.9,-2.4
15,7.1,8.4,70.9,-2.4
16,-2.4,10.3,70.9,-2.4
17,-10.1,3.6,70.9,-2.4
18,-12.1,-5.5,70.9,-2.3
19,-3.3,3.0,70.9,-2.6
20,-7.1,-8.1,70.9,-2.4
21,2.4,-10.6,70.9,-2.4
22,9.4,-5.1,70.9,-2.4
23,10.1,4.5,70.9,-2.4
24,2.5,10.4,70.9,-2.4
25,-6.9,7.6,70.9,-2.4
26,-11.9,-0.8,70.9,-2.4
27,4.0,3.6,61.8,-3.3
28,1.8,5.8,61.8,-3.2
29,1.5,-2.5,61.8,-3.5
30,7.3,-0.5,61.8,-3.1
31,6.2,-2.9,61.8,-3.1
32,4.4,-3.5,61.8,-3.3
33,6.3,1.7,61.8,-3.2
34,-0.8,4.2,61.8,-3.4
35,-1.4,-4.0,61.8,-3.4
36,-4.7,0.9,61.8,-3.3
37,-3.4,-2.7,61.8,-3.4
38,-2.4,-10.1,61.8,-2.7
39,6.6,-8.6,61.8,-2.7
40,11.0,-0.3,61.8,-2.7
41,7.1,8.4,61.8,-2.7
42,-2.4,10.3,61.8,-2.7
43,-10.1,3.6,61.8,-2.7
44,-12.1,-5.5,61.8,-2.4
45,-3.3,3.0,61.8,-3.4
46,-7.1,-8.1,61.8,-2.7
47,2.4,-10.6,61.8,-2.7
48,9.4,-5.1,61.8,-2.7
49,10.1,4.5,61.8,-2.7
50,2.5,10.4,61.8,-2.7
51,-6.9,7.6,61.8,-2.8
52,-11.9,-0.8,61.8,-2.6
53,4.0,3.6,52.6,-5.2
54,1.8,5.8,52.6,-5.2
55,1.5,-2.5,52.6,-5.4
56,7.3,-0.5,52.6,-4.9
57,6.2,-2.9,52.6,-5.0
58,4.4,-3.5,52.6,-5.2
59,6.3,1.7,52.6,-5.1
60,-0.8,4.2,52.6,-5.3
61,-1.4,-4.0,52.6,-5.3
62,-4.7,0.9,52.6,-5.4
63,-3.4,-2.7,52.6,-5.7
64,-2.4,-10.1,52.6,-3.8
65,6.6,-8.6,52.6,-3.6
66,11.0,-0.3,52.6,-3.5
67,7.1,8.4,52.6,-3.6
68,-2.4,10.3,52.6,-3.7
69,-10.1,3.6,52.6,-3.6
70,-12.1,-5.5,52.6,-2.4
71,-3.3,3.0,52.6,-5.3
72,-7.1,-8.1,52.6,-3.7
73,2.4,-10.6,52.6,-3.7
74,9.4,-5.1,52.6,-3.6
75,10.1,4.5,52.6,-3.5
76,2.5,10.4,52.6,-3.6
77,-6.9,7.6,52.6,-3.9
78,-11.9,-0.8,52.6,-3.3
79,3.6,3.2,49.7,-5.8
80,1.6,5.2,49.7,-5.7
81,1.4,-2.2,49.7,-5.9
82,6.5,-0.5,49.7,-5.7
83,5.4,-2.5,49.7,-5.6
84,3.9,-3.1,49.7,-5.6
85,5.6,1.5,49.7,-5.7
86,-0.7,3.7,49.7,-5.8
87,-1.2,-3.6,49.7,-5.8
88,-4.2,0.8,49.7,-5.8
89,-3.0,-2.4,49.7,-5.4
90,-2.1,-8.9,49.7,-5.6
91,5.8,-7.6,49.7,-5.4
92,9.7,-0.3,49.7,-5.3
93,6.2,7.4,49.7,-5.3
94,-2.1,9.1,49.7,-5.5
95,-9.0,3.1,49.7,-5.4
96,-10.7,-4.9,49.7,-3.7
97,-2.9,2.6,49.7,-5.7
98,-6.3,-7.2,49.7,-5.4
99,2.1,-9.4,49.7,-5.3
100,8.3,-4.5,49.7,-5.4
101,8.9,4.0,49.7,-5.3
102,2.2,9.2,49.7,-5.5
103,-6.1,6.8,49.7,-5.6
104,-10.5,-0.7,49.7,-4.8
105,2.2,2.0,44.3,-7.0
106,1.0,3.2,44.3,-7.1
107,0.8,-1.4,44.3,-6.8
108,4.0,-0.3,44.3,-7.2
109,3.4,-1.6,44.3,-7.2
110,2.4,-1.9,44.3,-7.0
111,3.4,0.9,44.3,-7.1
112,-0.4,2.3,44.3,-6.9
113,-0.8,-2.2,44.3,-6.9
114,-2.6,0.5,44.3,-7.0
115,-1.8,-1.5,44.3,-7.0
116,-1.3,-5.6,44.3,-7.5
117,3.6,-4.7,44.3,-7.6
118,6.0,-0.2,44.3,-7.6
119,3.9,4.6,44.3,-7.6
120,-1.3,5.7,44.3,-7.6
121,-5.6,2.0,44.3,-7.6
122,-6.6,-3.0,44.3,-8.3
123,-1.8,1.6,44.3,-6.9
124,-3.9,-4.5,44.3,-7.6
125,1.3,-5.8,44.3,-7.7
126,5.2,-2.8,44.3,-7.6
127,5.5,2.5,44.3,-7.6
128,1.3,5.7,44.3,-7.6
129,-3.8,4.2,44.3,-7.5
130,-6.5,-0.5,44.3,-7.9
131,2.2,2.0,35.7,-7.0
132,1.0,3.2,35.7,-7.1
133,0.8,-1.4,35.7,-6.8
134,4.0,-0.3,35.7,-7.2
135,3.4,-1.6,35.7,-7.2
136,2.4,-1.9,35.7,-7.1
137,3.4,0.9,35.7,-7.1
138,-0.4,2.3,35.7,-6.9
139,-0.8,-2.2,35.7,-7.0
140,-2.6,0.5,35.7,-7.0
141,-1.8,-1.5,35.7,-7.0
142,-1.3,-5.6,35.7,-7.5
143,3.6,-4.7,35.7,-7.6
144,6.0,-0.2,35.7,-7.6
145,3.9,4.6,35.7,-7.7
146,-1.3,5.7,35.7,-7.6
147,-5.6,2.0,35.7,-7.6
148,-6.6,-3.0,35.7,-8.3
149,-1.8,1.6,35.7,-7.0
150,-3.9,-4.5,35.7,-7.6
151,1.3,-5.8,35.7,-7.7
152,5.2,-2.8,35.7,-7.6
153,5.5,2.5,35.7,-7.7
154,1.3,5.7,35.7,-7.6
155,-3.8,4.2,35.7,-7.5
156,-6.5,-0.5,35.7,-7.9
157,3.6,3.2,30.3,-5.8
