3.1,13.4,32.2,0.0,11.0,35.7,2.4,10.7,35.7,3.9,17.2,30.3
-1.8,3.2,49.7,-0.7,3.7,49.7,-0.5,2.9,47.8,-1.7,7.1,47.8
-12.1,-5.5,75.4,-9.8,-11.9,80.0,-7.1,-8.1,75.4,-9.6,-6.8,80.0
-13.8,-11.0,49.7,-8.6,-10.7,32.2,-6.2,-7.8,40.0,-8.6,-10.7,47.8
-1.6,7.3,9.1,1.8,5.8,4.6,2.1,8.1,9.1,1.8,5.8,9.1
-4.7,0.9,75.4,-4.0,1.9,80.0,-3.3,3.0,75.4,-7.4,2.2,80.0
4.3,1.1,47.8,2.8,1.5,44.3,4.5,1.7,44.3,3.4,0.9,44.3
6.8,0.6,27.4,9.1,-0.4,27.4,7.1,-0.5,29.2,7.3,-0.5,27.4
-2.1,-8.9,49.7,-2.4,-10.7,44.3,-4.8,-9.9,44.3,-1.7,-6.9,47.8
-4.9,-5.6,32.2,-5.4,-6.5,35.7,-8.6,-6.8,35.7,-6.8,-8.6,35.7
-3.3,3.0,66.3,-2.4,-0.5,61.8,0.4,0.9,61.8,1.5,-2.5,66.3
-3.4,-14.8,70.9,-8.7,-18.0,70.9,-12.5,-15.6,75.4,-9.8,-11.9,70.9
-8.6,-6.8,35.7,-13.8,-11.0,49.7,-6.2,-7.8,40.0,-8.6,-6.8,44.3
-2.3,-9.8,50.8,0.0,-10.4,52.6,0.0,-9.2,49.7,-1.9,-7.1,52.6
5.5,6.0,61.8,10.1,4.5,57.2,7.1,8.4,57.2,8.6,6.5,61.8
-3.4,-14.8,61.8,-8.7,-18.0,61.8,-12.5,-15.6,57.2,-4.5,-19.5,57.2
-3.2,0.6,32.2,-4.2,-1.0,35.7,-2.2,-0.5,35.7,-2.6,0.5,35.7
7.5,-0.2,32.2,11.0,0.0,35.7,8.5,-0.1,35.7,10.7,-2.4,35.7
-3.2,2.9,50.8,-0.7,4.1,50.8,-2.0,3.6,52.6,-1.8,3.2,49.7
